Titre;Réalisateur;Adresse;Organisme Demandeur;Type de tournage;Arrondissement;Date debut;Date fin;xy
IRIS/EX CHAOS;JALIL LESPERT;RUE  DE TURENNE;WY PRODUCTIONS;LONG METRAGE;75003;2016-02-18;2016-02-18;48.8604, 2.364683
IRIS/EX CHAOS;JALIL LESPERT;COURS  LA REINE;WY PRODUCTIONS;LONG METRAGE;75008;2016-02-18;2016-02-18;48.864884, 2.303314
JEUNE FEMME;LEONOR SERRAILLE;62  BOULEVARD  DE CLICHY;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75018;2016-02-18;2016-02-18;48.883412, 2.334619
GC5;GUILLAUME CANET;34  RUE  DE LA MONTAGNE SAINTE GENEVIEVE;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75005;2016-02-18;2016-02-18;48.848024, 2.348461
SI J'ETAIS UN HOMME;AUDREY DANA;2  PLACE  DU COLONEL FABIEN/ESPACE NIEMEYER;CURIOSA FILMS;LONG METRAGE;75019;2016-02-19;2016-02-19;48.87795, 2.37105
JEUNE FEMME;LEONOR SERRAILLE;CIMETIERE*  MONTMARTRE;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75018;2016-02-19;2016-02-19;48.898989, 2.336486
MONSIEUR ET MADAME ADELMAN;NICOLAS BEDOS;70  AVENUE  DE BRETEUIL;LES FILMS DU KIOSQUE;LONG METRAGE;75007;2016-02-22;2016-02-26;
IRIS/EX CHAOS;JALIL LESPERT;24  RUE  SAINT VICTOR;WY PRODUCTIONS;LONG METRAGE;75005;2016-02-22;2016-02-25;48.848644, 2.350496
SI J'ETAIS UN HOMME;AUDREY DANA;RUE  DE DUNKERQUE/GERANDO;CURIOSA FILMS;LONG METRAGE;75009;2016-02-24;2016-02-24;48.881745, 2.347275
SI J'ETAIS UN HOMME;AUDREY DANA;RUE  DE DUNKERQUE;CURIOSA FILMS;LONG METRAGE;75009;2016-02-24;2016-02-24;48.881745, 2.347275
JEUNE FEMME;LEONOR SERRAILLE;BOULEVARD  RASPAIL;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75006;2016-02-24;2016-02-24;48.846501, 2.3285
GC5;GUILLAUME CANET;18  RUE  DUNKERQUE;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75010;2016-02-24;2016-02-24;48.880374, 2.35354
JEUNE FEMME;LEONOR SERRAILLE;RUE  EUGENE PELLETAN;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75014;2016-02-25;2016-02-25;
BEFIKRE;ADITYA CHOPRA;RUE  DU CARDINAL GUIBERT;FIRSTEP;LONG METRAGE;75018;2016-02-25;2016-02-25;
BEFIKRE;ADITYA CHOPRA;RUE  SAINT RUSTIQUE;FIRSTEP;LONG METRAGE;75018;2016-02-25;2016-02-25;48.887081, 2.340592
BEFIKRE;ADITYA CHOPRA;RUE  DES ABBESSES;FIRSTEP;LONG METRAGE;75018;2016-02-25;2016-02-25;48.884826, 2.337083
BEFIKRE;ADITYA CHOPRA;SQUARE  JEHAN-RICTUS;FIRSTEP;LONG METRAGE;75018;2016-02-25;2016-02-25;48.8925, 2.349552
BEFIKRE;ADITYA CHOPRA;PLACE  DU MARCHE SAINTE CATHERINE;FIRSTEP;LONG METRAGE;75004;2016-02-26;2016-02-26;48.855545, 2.362691
BEFIKRE;ADITYA CHOPRA;RUE  NECKER;FIRSTEP;LONG METRAGE;75004;2016-02-26;2016-02-26;48.855349, 2.363274
BEFIKRE;ADITYA CHOPRA;RUE  DU PREVOT;FIRSTEP;LONG METRAGE;75004;2016-02-26;2016-02-26;48.854804, 2.359778
OVERDRIVE;ANTONIO NEGRET;PLACE  JACQUES RUEFF;OVERDRIVE PRODUCTIONS;LONG METRAGE;75007;2016-02-29;2016-02-29;48.858881, 2.322649
GC5;GUILLAUME CANET;57  RUE  DE MALTE;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75011;2016-02-29;2016-02-29;48.86639, 2.36723
MONSIEUR ET MADAME ADELMAN;NICOLAS BEDOS;BOIS*  DE BOULOGNE;LES FILMS DU KIOSQUE;LONG METRAGE;75016;2016-03-01;2016-03-01;48.875133, 2.286885
CORPORATE;NICOLAS SILHOL;12  RUE  ALBERT ROUSSEL;KAZAK PRODUCTIONS;LONG METRAGE;75017;2016-03-02;2016-03-03;48.891976, 2.305525
IRIS/EX CHAOS;JALIL LESPERT;23  AVENUE  JUNOT;WY PRODUCTIONS;LONG METRAGE;75018;2016-03-03;2016-03-03;48.88839, 2.335468
CORPORATE;NICOLAS SILHOL;PLACE  DE L'OPERA;KAZAK PRODUCTIONS;LONG METRAGE;75009;2016-03-04;2016-03-04;48.871045, 2.332572
LA NIAQUE;CHAD CHENOUGA;PLACE  ANDRE TARDIEU;TS PRODUCTIONS;LONG METRAGE;75007;2016-03-04;2016-03-04;48.852647, 2.303246
KOTO;YUKI SAITO;RUE  DE BELLEVILLE;HAUT LES MAINS;LONG METRAGE;75020;2016-03-04;2016-03-04;48.875382, 2.390942
KOTO;YUKI SAITO;PLACE  DES GRANDES RIGOLES;HAUT LES MAINS;LONG METRAGE;75020;2016-03-04;2016-03-04;48.873625, 2.389933
UN CONTE INDIEN;HECTOR CABELLO REYES;66 ET 49  RUE  DE RENNES;22H22 PRODUCTION;LONG METRAGE;75006;2016-03-06;2016-03-06;48.852915, 2.332527
UN CONTE INDIEN;HECTOR CABELLO REYES;14  RUE  BONAPARTE;22H22 PRODUCTION;LONG METRAGE;75006;2016-03-06;2016-03-06;48.856574, 2.334551
UN CONTE INDIEN;HECTOR CABELLO REYES;PONT  DES ARTS;22H22 PRODUCTION;LONG METRAGE;75006;2016-03-06;2016-03-06;48.853452, 2.340567
UN CONTE INDIEN;HECTOR CABELLO REYES;PLACE  DE L'INSTITUT;22H22 PRODUCTION;LONG METRAGE;75006;2016-03-06;2016-03-06;48.850038, 2.33855
MONSIEUR ET MADAME ADELMAN;NICOLAS BEDOS;PARVIS  DE LA MAIRIE DU 14EME;LES FILMS DU KIOSQUE;LONG METRAGE;75014;2016-03-07;2016-03-07;
CORPORATE;NICOLAS SILHOL;34  BOULEVARD  BONNE NOUVELLE/DELAULLE CAFE;KAZAK PRODUCTIONS;LONG METRAGE;75010;2016-03-07;2016-03-07;48.870706, 2.349363
MONSIEUR ET MADAME ADELMAN;NICOLAS BEDOS;87  RUE  DE LA ROQUETTE;LES FILMS DU KIOSQUE;LONG METRAGE;75011;2016-03-08;2016-03-08;48.857163, 2.378662
GC5;GUILLAUME CANET;9 ET 11  RUE  TRONCHET;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75008;2016-03-08;2016-03-08;48.871633, 2.32541
CORPORATE;NICOLAS SILHOL;45  RUE  CAUMARTIN;KAZAK PRODUCTIONS;LONG METRAGE;75009;2016-03-08;2016-03-08;48.872974, 2.328241
MON POUSSIN;FREDERIC FORESTIER;2  RUE  DU PONT NEUF;LES FILMS DU 24;LONG METRAGE;75001;2016-03-08;2016-03-08;48.859427, 2.343759
DALIDA;LISA AZUELOS;2  PLACE  DES PYRAMIDES (HOTEL REGINA);BETHSABEE MUCHO;LONG METRAGE;75001;2016-03-09;2016-03-09;48.863961, 2.332599
SI J'ETAIS UN HOMME;AUDREY DANA;AVENUE  JEAN JAURES;CURIOSA FILMS;LONG METRAGE;75019;2016-03-10;2016-03-10;48.886104, 2.382253
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;RUE  PETIT;LGM CINEMA;LONG METRAGE;75019;2016-03-10;2016-03-10;48.885369, 2.385804
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;RUE  DU CHEMIN DE FER;LGM CINEMA;LONG METRAGE;75019;2016-03-10;2016-03-10;48.899573, 2.391171
GC5;GUILLAUME CANET;7  RUE  TRONCHET;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75008;2016-03-10;2016-03-10;48.871399, 2.325237
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;RUE  DE LA MARSEILLAISE;LGM CINEMA;LONG METRAGE;75019;2016-03-11;2016-03-11;48.888735, 2.398081
OUI MADEMOISELLE;YISHU YANG;RUE  ALBERT DE MUN;BAYOO;LONG METRAGE;75016;2016-03-13;2016-03-13;48.863238, 2.291363
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;7  RUE  DES 3 FRERES/LE PROGRES;LGM CINEMA;LONG METRAGE;75018;2016-03-15;2016-03-15;48.883879, 2.341422
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;12  RUE  STEINKERQUE;LGM CINEMA;LONG METRAGE;75018;2016-03-15;2016-03-15;48.883676, 2.34365
GC5;GUILLAUME CANET;10  RUE  DESIREE;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75020;2016-03-15;2016-03-15;48.864836, 2.39204
AU REVOIR LA HAUT;ALBERT DUPONTEL;9  RUE  FORTUNY;ADCB FILMS;LONG METRAGE;75017;2016-03-15;2016-03-18;48.882107, 2.306226
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;155  RUE  MONTMARTRE/LE CAFE OSCAR;LGM CINEMA;LONG METRAGE;75002;2016-03-16;2016-03-17;48.870642, 2.342614
GC5;GUILLAUME CANET;16  RUE  CAPRON;LES PRODUCTIONS DU TRESOR;LONG METRAGE;75018;2016-03-16;2016-03-16;48.885522, 2.328483
MON POUSSIN;FREDERIC FORESTIER;1  RUE  RENE PANHARD;LES FILMS DU 24;LONG METRAGE;75013;2016-03-16;2016-03-16;48.838779, 2.359355
DALIDA;LISA AZUELOS;34  BOULEVARD  VICTOR;BETHSABEE MUCHO;LONG METRAGE;75015;2016-03-17;2016-03-17;48.832901, 2.286803
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;72  RUE  CROZATIER;F COMME FILM;LONG METRAGE;75012;2016-03-17;2016-03-17;48.850086, 2.379252
SI J'ETAIS UN HOMME;AUDREY DANA;57/59  PLACE  DE LA REUNION;CURIOSA FILMS;LONG METRAGE;75020;2016-03-18;2016-03-18;48.855449, 2.400886
C'EST TOUT POUR MOI;L. COLBEAU JUSTIN;7  COUR  DU MINERVOIS/HOTEL ADAGIO;LGM CINEMA;LONG METRAGE;75012;2016-03-18;2016-03-18;
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-03-18;2016-03-18;48.840246, 2.360048
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-03-21;2016-03-21;48.840246, 2.360048
SI J'ETAIS UN HOMME;AUDREY DANA;RUE  DES ABBESSES;CURIOSA FILMS;LONG METRAGE;75018;2016-03-29;2016-03-29;48.884826, 2.337083
MON POUSSIN;FREDERIC FORESTIER;34  RUE  DE LA VERRERIE;LES FILMS DU 24;LONG METRAGE;75004;2016-03-29;2016-03-31;48.857724, 2.353853
SEULS;DAVID MOREAU;37/41  AVENUE  DU GENERAL SARRAIL;ECHO FILMS;LONG METRAGE;75016;2016-03-29;2016-03-29;48.842933, 2.25497
LES TETES DE L'EMPLOI;FRANCK MAGNIER;74  RUE  BOTZARIS;RECIFILMS;LONG METRAGE;75019;2016-03-29;2016-03-29;48.879449, 2.388476
L'AMOUR QU'IL NOUS FAUT;NATHALIE MARCHAK;24/26  RUE  DES CARMES;LES FILMS D'ICI;LONG METRAGE;75005;2016-03-30;2016-03-30;48.848462, 2.347102
MON POUSSIN;FREDERIC FORESTIER;33BIS  RUE  FAIDHERBE;LES FILMS DU 24;LONG METRAGE;75011;2016-04-01;2016-04-02;48.853081, 2.382692
LOLA PATER;NADIR MOKNECHE;8  RUE  POLIVEAU;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75005;2016-04-01;2016-04-02;48.840372, 2.360891
CHERCHEZ LA FEMME;SOU ABADI;27  RUE  SAINT GUILLAUME (ECOLE SCIENCE PO);THE FILM;LONG METRAGE;75007;2016-04-01;2016-04-02;
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-04-04;2016-04-07;48.840246, 2.360048
AURORE TABORT;BLANDINE LENOIR;9  VILLA  DU BORREGO;KARE PRODUCTIONS;LONG METRAGE;75020;2016-04-07;2016-04-07;48.873657, 2.400664
LA SAGE FEMME;MARTIN PROVOST;27  RUE  WASHINGTON;CURIOSA FILMS;LONG METRAGE;75008;2016-04-07;2016-04-07;48.873433, 2.303342
BLOCKBUSTER;JULY HYGRECK;RUE  BICHAT;VIRGINIE FILMS;LONG METRAGE;75010;2016-04-08;2016-04-08;48.871929, 2.367567
SI J'ETAIS UN HOMME;AUDREY DANA;12  RUE  DE TORCY/CHANTIER GCC;CURIOSA FILMS;LONG METRAGE;75018;2016-04-09;2016-04-10;48.891254, 2.364076
LOLA PATER;NADIR MOKNECHE;8  RUE  POLIVEAU;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75005;2016-04-11;2016-04-11;48.840372, 2.360891
LA SAGE FEMME;MARTIN PROVOST;RUE  LAMENNAIS;CURIOSA FILMS;LONG METRAGE;75008;2016-04-11;2016-04-11;48.873941, 2.302969
MARIE FRANCINE;VALERIE LEMERCIER;26  RUE  DE LA FONTAINE;RECTANGLE PRODUCTIONS;LONG METRAGE;75016;2016-04-11;2016-04-11;48.851796, 2.273627
AURORE TABORT;BLANDINE LENOIR;75  RUE  DU FAUBOURG SAINT ANTOINE;KARE PRODUCTIONS;LONG METRAGE;75011;2016-04-12;2016-04-12;48.851796, 2.374503
LOLA PATER;NADIR MOKNECHE;CIMETIERE*  DE PANTIN;BLUE MONDAY PRODUCTIONS;LONG METRAGE;93000;2016-04-12;2016-04-12;
LOLA PATER;NADIR MOKNECHE;SQUARE  THEODORE MONOD;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75005;2016-04-12;2016-04-12;
LA SAGE FEMME;MARTIN PROVOST;RUE  SAINT JACQUES;CURIOSA FILMS;LONG METRAGE;75005;2016-04-13;2016-04-13;48.844609, 2.342241
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;RUE  DU FAUBOURG POISSONNIERE;F COMME FILM;LONG METRAGE;75010;2016-04-14;2016-04-14;48.876626, 2.348752
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;40  RUE  CORVISART;F COMME FILM;LONG METRAGE;75013;2016-04-16;2016-04-16;48.831671, 2.347511
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;87  AVENUE  DE VILLIERS;F COMME FILM;LONG METRAGE;75017;2016-03-25;2016-03-25;48.884206, 2.301948
LOLA PATER;NADIR MOKNECHE;224  RUE  SAINT DENIS;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75002;2016-03-29;2016-03-31;48.868318, 2.352042
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-03-30;2016-03-31;48.840246, 2.360048
SI J'ETAIS UN HOMME;AUDREY DANA;AVENUE  SECRETAN/RUE BASTE/E.PAILLERON;CURIOSA FILMS;LONG METRAGE;75019;2016-04-05;2016-04-05;48.880876, 2.374347
LOLA PATER;NADIR MOKNECHE;8  RUE  POLIVEAU;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75005;2016-04-09;2016-04-09;48.840372, 2.360891
LOLA PATER;NADIR MOKNECHE;CIMETIERE*  DE PANTIN;BLUE MONDAY PRODUCTIONS;LONG METRAGE;93000;2016-04-11;2016-04-11;
LA SAGE FEMME;MARTIN PROVOST;7  RUE  CHATEAUBRIAND;CURIOSA FILMS;LONG METRAGE;75008;2016-04-11;2016-04-11;48.873307, 2.302135
LA SAGE FEMME;MARTIN PROVOST;RUE  WASHINGTON;CURIOSA FILMS;LONG METRAGE;75008;2016-04-11;2016-04-11;48.873343, 2.303194
MARIE FRANCINE;VALERIE LEMERCIER;128  AVENUE  MOZART;RECTANGLE PRODUCTIONS;LONG METRAGE;75016;2016-04-11;2016-04-11;48.849376, 2.266413
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-04-12;2016-04-12;48.840246, 2.360048
SEULS;DAVID MOREAU;FOIRE  DU TRONE;ECHO FILMS;LONG METRAGE;75012;2016-04-12;2016-04-12;48.847795, 2.398097
LOLA PATER;NADIR MOKNECHE;RUE  SCIPION;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75005;2016-04-12;2016-04-12;48.838163, 2.353805
LOLA PATER;NADIR MOKNECHE;RUE  DU FER A MOULIN;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75005;2016-04-12;2016-04-12;48.839006, 2.353493
LA SAGE FEMME;MARTIN PROVOST;49  RUE  DES ECOLES (LE BALZAC);CURIOSA FILMS;LONG METRAGE;75005;2016-04-12;2016-04-12;48.849931, 2.343527
SEULS;DAVID MOREAU;FOIRE  DU TRONE;ECHO FILMS;LONG METRAGE;75012;2016-04-13;2016-04-13;48.847795, 2.398097
LOLA PATER;NADIR MOKNECHE;PARC  DU CHAMP DE MARS;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75007;2016-04-13;2016-04-13;48.854395, 2.304772
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;RUE  DE DUNKERQUE;F COMME FILM;LONG METRAGE;75010;2016-04-14;2016-04-14;48.87993, 2.354041
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;RUE  GUY PATIN;F COMME FILM;LONG METRAGE;75010;2016-04-14;2016-04-14;48.883013, 2.351073
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;ESCALIER  RUE DU ROCHER;F COMME FILM;LONG METRAGE;75008;2016-04-14;2016-04-14;48.87842, 2.319739
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;CARREFOUR  AVENUE DE VILLIERS;F COMME FILM;LONG METRAGE;75017;2016-04-14;2016-04-14;48.883862, 2.303829
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;RUE  DE LEVIS;F COMME FILM;LONG METRAGE;75017;2016-04-14;2016-04-14;48.883399, 2.314038
LOLA PATER;NADIR MOKNECHE;6  RUE  DE LA GRANGE BATELIERE;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75009;2016-04-14;2016-04-15;48.873131, 2.342149
LA NIAQUE;CHAD CHENOUGA;101  AVENUE  DE LA REPUBLIQUE/LYCEE VOLTAIRE;TS PRODUCTIONS;LONG METRAGE;75011;2016-04-18;2016-04-19;48.863529, 2.384508
BLOCKBUSTER;JULY HYGRECK;8  RUE  COCHIN;VIRGINIE FILMS;LONG METRAGE;75005;2016-04-18;2016-04-18;48.850249, 2.352538
MARIE FRANCINE;VALERIE LEMERCIER;15  RUE  DUPLEIX;RECTANGLE PRODUCTIONS;LONG METRAGE;75015;2016-04-18;2016-04-19;48.851663, 2.297824
DJANGO MELODIES;ETIENNE COMAR;22  SQUARE  ALBONI;CURIOSA FILMS;LONG METRAGE;75016;2016-04-19;2016-04-19;48.85705, 2.285782
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;14  RUE  VULPIAN;F COMME FILM;LONG METRAGE;75013;2016-04-19;2016-04-19;48.831862, 2.346426
LOLA PATER;NADIR MOKNECHE;RUE  PILLET WILLET;BLUE MONDAY PRODUCTIONS;LONG METRAGE;75009;2016-04-19;2016-04-19;48.873234, 2.336539
BLOCKBUSTER;JULY HYGRECK;RUE  PHILIPPE DE GIRARD;VIRGINIE FILMS;LONG METRAGE;75010;2016-04-19;2016-04-20;48.882895, 2.361636
MARIE FRANCINE;VALERIE LEMERCIER;11  RUE  PIRANDELLO;RECTANGLE PRODUCTIONS;LONG METRAGE;75013;2016-04-19;2016-04-19;48.836476, 2.355895
FLEUVE NOIR;ERICK ZONCA;68  BOULEVARD  DE CLICHY;CURIOSA FILMS;LONG METRAGE;75018;2016-04-19;2016-04-19;48.883568, 2.334099
MARIE FRANCINE;VALERIE LEMERCIER;29/37  RUE  LE BRUN;RECTANGLE PRODUCTIONS;LONG METRAGE;75013;2016-04-20;2016-04-20;48.834973, 2.35352
MARIE FRANCINE;VALERIE LEMERCIER;41/47  AVENUE  DES GOBELINS;RECTANGLE PRODUCTIONS;LONG METRAGE;75013;2016-04-20;2016-04-20;48.835179, 2.353281
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;40  RUE  CORVISART;F COMME FILM;LONG METRAGE;75013;2016-04-21;2016-04-23;48.831671, 2.347511
LA NIAQUE;CHAD CHENOUGA;SKATEPARK  DE BERCY;TS PRODUCTIONS;LONG METRAGE;75012;2016-04-22;2016-04-22;48.836091, 2.380547
BEFIKRE;ADITYA CHOPRA;PLACE  DE l'OPERA;FIRSTEP;LONG METRAGE;75009;2016-04-22;2016-04-22;48.871045, 2.332572
BEFIKRE;ADITYA CHOPRA;PLACE  DE LA CONCORDE;FIRSTEP;LONG METRAGE;75008;2016-04-22;2016-04-22;48.867065, 2.321877
LA NIAQUE;CHAD CHENOUGA;RUE  SAINT DENIS;TS PRODUCTIONS;LONG METRAGE;75001;2016-04-25;2016-04-25;48.861193, 2.348739
BEFIKRE;ADITYA CHOPRA;PARVIS  DE NOTRE DAME;FIRSTEP;LONG METRAGE;75004;2016-04-26;2016-04-26;48.853542, 2.347221
BEFIKRE;ADITYA CHOPRA;QUAI  DE BOURBON;FIRSTEP;LONG METRAGE;75004;2016-04-26;2016-04-26;48.853036, 2.355069
ALIBI.COM;PHILIPPE LACHEAU;101  RUE  DE MIROMESNIL;FECHNER FILMS;LONG METRAGE;75008;2016-04-26;2016-04-26;48.880528, 2.315292
BEFIKRE;ADITYA CHOPRA;PONT  DU CARROUSEL;FIRSTEP;LONG METRAGE;75001;2016-04-27;2016-04-27;48.863553, 2.339905
MARIE FRANCINE;VALERIE LEMERCIER;1  RUE  BOIS LE VENT;RECTANGLE PRODUCTIONS;LONG METRAGE;75016;2016-04-27;2016-04-27;48.857471, 2.277292
BEFIKRE;ADITYA CHOPRA;BERGES*  DU CANAL SAINT MARTIN;FIRSTEP;LONG METRAGE;75010;2016-04-28;2016-04-28;
ALIBI.COM;PHILIPPE LACHEAU;27  PLACE  SAINT GEORGE/FONDATION DOSNE THIERS;FECHNER FILMS;LONG METRAGE;75009;2016-04-29;2016-04-29;
LA NIAQUE;CHAD CHENOUGA;12  RUE  DU QUATRE SEPTEMBRE;TS PRODUCTIONS;LONG METRAGE;75002;2016-05-02;2016-05-03;48.869537, 2.337461
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-05-02;2016-05-02;48.840246, 2.360048
BEFIKRE;ADITYA CHOPRA;18  RUE  VAUQUELIN;FIRSTEP;LONG METRAGE;75005;2016-05-03;2016-05-03;48.84093, 2.34698
FLEUVE NOIR;ERICK ZONCA;BOULEVARD  DE CLICHY;CURIOSA FILMS;LONG METRAGE;75018;2016-05-03;2016-05-03;48.883667, 2.333761
MARIE FRANCINE;VALERIE LEMERCIER;5/7  SQUARE  CHATILLON;RECTANGLE PRODUCTIONS;LONG METRAGE;75014;2016-05-04;2016-05-05;48.825793, 2.323396
BEFIKRE;ADITYA CHOPRA;RUE  DU FAUBOURG SAINT HONORE;FIRSTEP;LONG METRAGE;75008;2016-05-08;2016-05-09;48.872633, 2.311702
DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;15  RUE  POLIVEAU;F COMME FILM;LONG METRAGE;75005;2016-05-09;2016-05-09;48.840246, 2.360048
FLORA63;STEPHANE ROBELIN;PLACE  DES GENERAUX TRENTINIAN;ICI ET LA PRODUCTIONS;LONG METRAGE;75016;2016-05-09;2016-05-09;
MARIE FRANCINE;VALERIE LEMERCIER;3  RUE  DE L'ANNONCIATION;RECTANGLE PRODUCTIONS;LONG METRAGE;75016;2016-05-10;2016-05-10;48.85576, 2.280588
FLORA63;STEPHANE ROBELIN;21/23  RUE  DE BELLEVILLE;ICI ET LA PRODUCTIONS;LONG METRAGE;75019;2016-05-10;2016-05-10;48.872794, 2.378965
CHERCHEZ LA FEMME;SOU ABADI;15  AVENUE  DU RECTEUR POINCARE;THE FILM;LONG METRAGE;75016;2016-05-11;2016-05-11;48.853169, 2.27133
MARIE FRANCINE;VALERIE LEMERCIER;RUE  RAYNOUARD/R DE L'ANNONCIATION (ANGLE);RECTANGLE PRODUCTIONS;LONG METRAGE;75016;2016-05-11;2016-05-11;48.856667, 2.27922
BEFIKRE;ADITYA CHOPRA;33  AVENUE  SECRETAN/SUPERMARCHE LES 5 FERMES;FIRSTEP;LONG METRAGE;75019;2016-05-12;2016-05-12;48.881383, 2.373733
BEFIKRE;ADITYA CHOPRA;SQUARE  DE LA PLACE DAUPHINE;FIRSTEP;LONG METRAGE;75001;2016-05-12;2016-05-13;48.856822, 2.342303
FLORA63;STEPHANE ROBELIN;PLACE  DES ABBESSES;ICI ET LA PRODUCTIONS;LONG METRAGE;75018;2016-05-13;2016-05-13;48.884608, 2.338302
FLORA63;STEPHANE ROBELIN;RUE  VIEUVILLE;ICI ET LA PRODUCTIONS;LONG METRAGE;75018;2016-05-13;2016-05-13;48.884709, 2.339717
BEFIKRE;ADITYA CHOPRA;COURS  LA REINE;FIRSTEP;LONG METRAGE;75008;2016-05-17;2016-05-17;48.864884, 2.303314
BEFIKRE;ADITYA CHOPRA;PONT  LOUIS PHILIPPE;FIRSTEP;LONG METRAGE;75004;2016-05-20;2016-05-21;48.855368, 2.355793
AU REVOIR LA HAUT;ALBERT DUPONTEL;12  RUE  DE L'ECOLE DE MEDECINE;ADCB FILMS;LONG METRAGE;75006;2016-05-20;2016-05-21;48.851237, 2.34077
AU REVOIR LA HAUT;ALBERT DUPONTEL;83  BOULEVARD  SAINT GERMAIN;ADCB FILMS;LONG METRAGE;75006;2016-05-20;2016-05-21;48.851767, 2.341002
BEFIKRE;ADITYA CHOPRA;PELOUSE  NAUMACHIE;FIRSTEP;LONG METRAGE;75017;2016-05-23;2016-05-23;48.895667, 2.325417
ROCK ON 2;SHUJAAT SAUDAGAR;RUE  DE L'ALBONI;JET FILMS;LONG METRAGE;75016;2016-05-23;2016-05-23;48.857995, 2.285419
BEFIKRE;ADITYA CHOPRA;AVENUE  RAPP;FIRSTEP;LONG METRAGE;75007;2016-05-24;2016-05-25;48.859478, 2.300998
LA SAGE FEMME;MARTIN PROVOST;RUE  BOUCRY;CURIOSA FILMS;LONG METRAGE;75018;2016-05-24;2016-05-24;48.894234, 2.361531
LA SAGE FEMME;MARTIN PROVOST;RUE  DES FILLETTES;CURIOSA FILMS;LONG METRAGE;75018;2016-05-24;2016-05-24;48.894334, 2.363214
LA SAGE FEMME;MARTIN PROVOST;4  RUE  JEAN COTTIN;CURIOSA FILMS;LONG METRAGE;75018;2016-05-24;2016-05-24;48.893495, 2.361569
BIENVENUE AU GONDWANA;MAMANE;23  RUE  BENJAMIN FRANKLIN;MANDARIN CINEMA;LONG METRAGE;75016;2016-05-26;2016-05-26;48.860399, 2.285725
BEFIKRE;ADITYA CHOPRA;AVENUE  JUNOT;FIRSTEP;LONG METRAGE;75018;2016-05-27;2016-05-27;48.888192, 2.336122
DANIEL;CYRIL MENNEGUN;RUE  MILTON;UNITE DE PRODUCTION;LONG METRAGE;75009;2016-05-27;2016-05-27;48.878249, 2.341181
